Ammattioikeus_koodi;Ammattioikeus;Ammattioikeus SV;Ammattioikeus EN;Vuosi;Ikä;Ammattioikeuksien lkm;Ammattihenkilöiden lkm
023;nimikesuojattu sairaalamikrobiologi;sjukhusmikrobiolog med skyddad yrkesbeteckning;hospital microbiologist with protected occupational title;2009;<65;30;30
024;nimikesuojattu sairaalasolubiologi;sjukhuscellbiolog med skyddad yrkesbeteckning;hospital cell biologist with protected occupational title;2009;<65;16;16
031;laillistettu yleislääkäri;legitimerad allmänläkare;registered general practitioner;2009;>=65;12;12
031;laillistettu yleislääkäri;legitimerad allmänläkare;registered general practitioner;2009;<65;4967;4967
034;laillistettu erikoislääkäri;legitimerad specialistläkare;registered specialist;2009;>=65;4096;2978
034;laillistettu erikoislääkäri;legitimerad specialistläkare;registered specialist;2009;<65;15471;12142
035;laillistettu erikoishammaslääkäri;legitimerad specialisttandläkare;specialised dental practitioner;2009;>=65;286;277
035;laillistettu erikoishammaslääkäri;legitimerad specialisttandläkare;specialised dental practitioner;2009;<65;710;704
100;laillistettu sairaanhoitaja;legitimerad sjukskötare;registered nurse;2009;>=65;16996;16996
100;laillistettu sairaanhoitaja;legitimerad sjukskötare;registered nurse;2009;<65;93159;93159
201;nimikesuojattu apuvälineteknikko;hjälpmedelstekniker med skyddad yrkesbeteckning;orthopaedic technician with protected occupational title;2009;<65;222;222
220;nimikesuojattu kiropraktikko;kiropraktor med skyddad yrkesbeteckning;chiropractor with protected occupational title;2009;>=65;Alle 5;Alle 5
220;nimikesuojattu kiropraktikko;kiropraktor med skyddad yrkesbeteckning;chiropractor with protected occupational title;2009;<65;75;75
230;nimikesuojattu naprapaatti;naprapat med skyddad yrkesbeteckning;naprapath with protected occupational title;2009;>=65;8;8
230;nimikesuojattu naprapaatti;naprapat med skyddad yrkesbeteckning;naprapath with protected occupational title;2009;<65;126;126
240;nimikesuojattu osteopaatti;osteopat med skyddad yrkesbeteckning;osteopath with protected occupational title;2009;>=65;8;8
240;nimikesuojattu osteopaatti;osteopat med skyddad yrkesbeteckning;osteopath with protected occupational title;2009;<65;236;236
300;laillistettu kätilö;legitimerad barnmorska;registered midwife;2009;>=65;2313;2313
300;laillistettu kätilö;legitimerad barnmorska;registered midwife;2009;<65;6225;6225
400;laillistettu terveydenhoitaja;legitimerad hälsovårdare;registered public health nurse;2009;>=65;573;573
400;laillistettu terveydenhoitaja;legitimerad hälsovårdare;registered public health nurse;2009;<65;19060;19060
503;nimikesuojattu mielisairaanhoitaja;sinnessjukvårdare med skyddad yrkesbeteckning;practical psychiatric nurse with protected occupational title;2009;>=65;3085;3085
503;nimikesuojattu mielisairaanhoitaja;sinnessjukvårdare med skyddad yrkesbeteckning;practical psychiatric nurse with protected occupational title;2009;<65;5518;5518
506;nimikesuojattu koulutettu hieroja;utbildad massör med skyddad yrkesbeteckning;trained masseur with protected occupational title;2009;>=65;778;778
506;nimikesuojattu koulutettu hieroja;utbildad massör med skyddad yrkesbeteckning;trained masseur with protected occupational title;2009;<65;12712;12712
507;nimikesuojattu apuhoitaja;hjälpskötare med skyddad yrkesbeteckning;assistant nurse with protected occupational title;2009;>=65;7385;7385
507;nimikesuojattu apuhoitaja;hjälpskötare med skyddad yrkesbeteckning;assistant nurse with protected occupational title;2009;<65;28321;28321
508;laillistettu laboratoriohoitaja;legitimerad laboratorieskötare;registered medical laboratory technologist;2009;>=65;791;791
508;laillistettu laboratoriohoitaja;legitimerad laboratorieskötare;registered medical laboratory technologist;2009;<65;8046;8046
509;laillistettu röntgenhoitaja;legitimerad röntgenskötare;registered radiographer;2009;>=65;477;477
509;laillistettu röntgenhoitaja;legitimerad röntgenskötare;registered radiographer;2009;<65;4248;4248
600;laillistettu fysioterapeutti;legitimerad fysioterapeut;registered physiotherapist;2009;>=65;645;645
600;laillistettu fysioterapeutti;legitimerad fysioterapeut;registered physiotherapist;2009;<65;13949;13949
602;nimikesuojattu kuntohoitaja;konditionsskötare med skyddad yrkesbeteckning;physiotherapy assistant with protected occupational title;2009;>=65;181;181
602;nimikesuojattu kuntohoitaja;konditionsskötare med skyddad yrkesbeteckning;physiotherapy assistant with protected occupational title;2009;<65;5522;5522
603;nimikesuojattu mielenterveyshoitaja;mentalvårdare med skyddad yrkesbeteckning;practical mental nurse with protected occupational title;2009;>=65;46;46
603;nimikesuojattu mielenterveyshoitaja;mentalvårdare med skyddad yrkesbeteckning;practical mental nurse with protected occupational title;2009;<65;2774;2774
604;nimikesuojattu lastenhoitaja;barnskötare med skyddad yrkesbeteckning;children's nurse with protected occupational title;2009;>=65;4449;4449
604;nimikesuojattu lastenhoitaja;barnskötare med skyddad yrkesbeteckning;children's nurse with protected occupational title;2009;<65;13640;13640
605;nimikesuojattu lähihoitaja (terveydenhuolto);närvårdare (hälsovård) med skyddad yrkesbeteckning;practical nurse (health care);2009;>=65;282;282
605;nimikesuojattu lähihoitaja (terveydenhuolto);närvårdare (hälsovård) med skyddad yrkesbeteckning;practical nurse (health care);2009;<65;89044;89044
607;nimikesuojattu perushoitaja;primärskötare med skyddad yrkesbeteckning;practical nurse with protected occupational title;2009;>=65;319;319
607;nimikesuojattu perushoitaja;primärskötare med skyddad yrkesbeteckning;practical nurse with protected occupational title;2009;<65;11449;11449
610;nimikesuojattu hammashoitaja;tandskötare med skyddad yrkesbeteckning;dental assistant with protected occupational title;2009;>=65;444;444
610;nimikesuojattu hammashoitaja;tandskötare med skyddad yrkesbeteckning;dental assistant with protected occupational title;2009;<65;7710;7710
611;laillistettu suuhygienisti;legitimerad munhygienist;registered dental hygienist;2009;>=65;11;11
611;laillistettu suuhygienisti;legitimerad munhygienist;registered dental hygienist;2009;<65;1976;1976
612;nimikesuojattu jalkaterapeutti;fotterapeut med skyddad yrkesbeteckning;podiatrist with protected occupational title;2009;>=65;Alle 5;Alle 5
612;nimikesuojattu jalkaterapeutti;fotterapeut med skyddad yrkesbeteckning;podiatrist with protected occupational title;2009;<65;205;205
613;nimikesuojattu jalkojenhoitaja;fotvårdare med skyddad yrkesbeteckning;chiropodist with protected occupational title;2009;>=65;111;111
613;nimikesuojattu jalkojenhoitaja;fotvårdare med skyddad yrkesbeteckning;chiropodist with protected occupational title;2009;<65;808;808
614;nimikesuojattu lääkintävahtimestari-sairaankuljettaja;medikalvaktmästare-ambulansförare med skyddad yrkesbeteckning;hospital and ambulance attendant with protected occupational title;2009;>=65;63;63
614;nimikesuojattu lääkintävahtimestari-sairaankuljettaja;medikalvaktmästare-ambulansförare med skyddad yrkesbeteckning;hospital and ambulance attendant with protected occupational title;2009;<65;2838;2838
001;laillistettu lääkäri;legitimerad läkare;registered medical doctor;2010;>=65;3749;3749
001;laillistettu lääkäri;legitimerad läkare;registered medical doctor;2010;<65;11744;11744
003;laillistettu hammaslääkäri;legitimerad tandläkare;registered dental practitioner;2010;>=65;1589;1589
003;laillistettu hammaslääkäri;legitimerad tandläkare;registered dental practitioner;2010;<65;4963;4963
005;laillistettu farmaseutti;legitimerad farmaceut;registered dispenser;2010;>=65;3967;3967
005;laillistettu farmaseutti;legitimerad farmaceut;registered dispenser;2010;<65;8855;8855
006;laillistettu proviisori;legitimerad provisor;registered pharmacist;2010;>=65;489;489
006;laillistettu proviisori;legitimerad provisor;registered pharmacist;2010;<65;2585;2585
007;laillistettu optikko;legitimerad optiker;registered optician;2010;>=65;210;210
007;laillistettu optikko;legitimerad optiker;registered optician;2010;<65;1799;1799
008;laillistettu hammasteknikko;legitimerad tandtekniker;registered dental technician;2010;>=65;239;239
008;laillistettu hammasteknikko;legitimerad tandtekniker;registered dental technician;2010;<65;880;880
009;laillistettu psykologi;legitimerad psykolog;registered psychologist;2010;>=65;693;693
009;laillistettu psykologi;legitimerad psykolog;registered psychologist;2010;<65;5633;5633
010;nimikesuojattu psykoterapeutti;psykoterapeut med skyddad yrkesbeteckning;psychotherapist with protected occupational title;2010;>=65;677;677
010;nimikesuojattu psykoterapeutti;psykoterapeut med skyddad yrkesbeteckning;psychotherapist with protected occupational title;2010;<65;4814;4814
012;laillistettu puheterapeutti;legitimerad talterapeut;registered speech therapist;2010;>=65;94;94
012;laillistettu puheterapeutti;legitimerad talterapeut;registered speech therapist;2010;<65;1291;1291
014;laillistettu toimintaterapeutti;legitimerad ergoterapeut;registered occupational therapist;2010;>=65;20;20
014;laillistettu toimintaterapeutti;legitimerad ergoterapeut;registered occupational therapist;2010;<65;2409;2409
016;laillistettu ravitsemusterapeutti;legitimerad näringsterapeut;registered dietitian;2010;>=65;13;13
016;laillistettu ravitsemusterapeutti;legitimerad näringsterapeut;registered dietitian;2010;<65;481;481
020;nimikesuojattu sairaalafyysikko;sjukhusfysiker med skyddad yrkesbeteckning;hospital physicist with protected occupational title;2010;>=65;20;20
020;nimikesuojattu sairaalafyysikko;sjukhusfysiker med skyddad yrkesbeteckning;hospital physicist with protected occupational title;2010;<65;106;106
021;nimikesuojattu sairaalageneetikko;sjukhusgenetiker med skyddad yrkesbeteckning;hospital geneticist with protected occupational title;2010;>=65;Alle 5;Alle 5
021;nimikesuojattu sairaalageneetikko;sjukhusgenetiker med skyddad yrkesbeteckning;hospital geneticist with protected occupational title;2010;<65;18;18
022;nimikesuojattu sairaalakemisti;sjukhuskemist med skyddad yrkesbeteckning;hospital chemist with protected occupational title;2010;>=65;52;52
022;nimikesuojattu sairaalakemisti;sjukhuskemist med skyddad yrkesbeteckning;hospital chemist with protected occupational title;2010;<65;143;143
023;nimikesuojattu sairaalamikrobiologi;sjukhusmikrobiolog med skyddad yrkesbeteckning;hospital microbiologist with protected occupational title;2010;>=65;Alle 5;Alle 5
023;nimikesuojattu sairaalamikrobiologi;sjukhusmikrobiolog med skyddad yrkesbeteckning;hospital microbiologist with protected occupational title;2010;<65;32;32
024;nimikesuojattu sairaalasolubiologi;sjukhuscellbiolog med skyddad yrkesbeteckning;hospital cell biologist with protected occupational title;2010;>=65;Alle 5;Alle 5
024;nimikesuojattu sairaalasolubiologi;sjukhuscellbiolog med skyddad yrkesbeteckning;hospital cell biologist with protected occupational title;2010;<65;17;17
031;laillistettu yleislääkäri;legitimerad allmänläkare;registered general practitioner;2010;>=65;15;15
031;laillistettu yleislääkäri;legitimerad allmänläkare;registered general practitioner;2010;<65;5565;5565
034;laillistettu erikoislääkäri;legitimerad specialistläkare;registered specialist;2010;>=65;4465;3227
034;laillistettu erikoislääkäri;legitimerad specialistläkare;registered specialist;2010;<65;15612;12313
035;laillistettu erikoishammaslääkäri;legitimerad specialisttandläkare;specialised dental practitioner;2010;>=65;315;307
035;laillistettu erikoishammaslääkäri;legitimerad specialisttandläkare;specialised dental practitioner;2010;<65;698;691
100;laillistettu sairaanhoitaja;legitimerad sjukskötare;registered nurse;2010;>=65;18533;18533
100;laillistettu sairaanhoitaja;legitimerad sjukskötare;registered nurse;2010;<65;94468;94468
201;nimikesuojattu apuvälineteknikko;hjälpmedelstekniker med skyddad yrkesbeteckning;orthopaedic technician with protected occupational title;2010;<65;238;238
220;nimikesuojattu kiropraktikko;kiropraktor med skyddad yrkesbeteckning;chiropractor with protected occupational title;2010;>=65;Alle 5;Alle 5
220;nimikesuojattu kiropraktikko;kiropraktor med skyddad yrkesbeteckning;chiropractor with protected occupational title;2010;<65;78;78
230;nimikesuojattu naprapaatti;naprapat med skyddad yrkesbeteckning;naprapath with protected occupational title;2010;>=65;8;8
230;nimikesuojattu naprapaatti;naprapat med skyddad yrkesbeteckning;naprapath with protected occupational title;2010;<65;126;126
240;nimikesuojattu osteopaatti;osteopat med skyddad yrkesbeteckning;osteopath with protected occupational title;2010;>=65;11;11
240;nimikesuojattu osteopaatti;osteopat med skyddad yrkesbeteckning;osteopath with protected occupational title;2010;<65;255;255
300;laillistettu kätilö;legitimerad barnmorska;registered midwife;2010;>=65;2432;2432
300;laillistettu kätilö;legitimerad barnmorska;registered midwife;2010;<65;6235;6235
400;laillistettu terveydenhoitaja;legitimerad hälsovårdare;registered public health nurse;2010;>=65;737;737
400;laillistettu terveydenhoitaja;legitimerad hälsovårdare;registered public health nurse;2010;<65;19619;19619
503;nimikesuojattu mielisairaanhoitaja;sinnessjukvårdare med skyddad yrkesbeteckning;practical psychiatric nurse with protected occupational title;2010;>=65;3162;3162
503;nimikesuojattu mielisairaanhoitaja;sinnessjukvårdare med skyddad yrkesbeteckning;practical psychiatric nurse with protected occupational title;2010;<65;5316;5316
506;nimikesuojattu koulutettu hieroja;utbildad massör med skyddad yrkesbeteckning;trained masseur with protected occupational title;2010;>=65;851;851
506;nimikesuojattu koulutettu hieroja;utbildad massör med skyddad yrkesbeteckning;trained masseur with protected occupational title;2010;<65;13313;13313
507;nimikesuojattu apuhoitaja;hjälpskötare med skyddad yrkesbeteckning;assistant nurse with protected occupational title;2010;>=65;8279;8279
507;nimikesuojattu apuhoitaja;hjälpskötare med skyddad yrkesbeteckning;assistant nurse with protected occupational title;2010;<65;27211;27211
508;laillistettu laboratoriohoitaja;legitimerad laboratorieskötare;registered medical laboratory technologist;2010;>=65;1004;1004
508;laillistettu laboratoriohoitaja;legitimerad laboratorieskötare;registered medical laboratory technologist;2010;<65;7994;7994
509;laillistettu röntgenhoitaja;legitimerad röntgenskötare;registered radiographer;2010;>=65;587;587
509;laillistettu röntgenhoitaja;legitimerad röntgenskötare;registered radiographer;2010;<65;4304;4304
600;laillistettu fysioterapeutti;legitimerad fysioterapeut;registered physiotherapist;2010;>=65;755;755
600;laillistettu fysioterapeutti;legitimerad fysioterapeut;registered physiotherapist;2010;<65;14254;14254
602;nimikesuojattu kuntohoitaja;konditionsskötare med skyddad yrkesbeteckning;physiotherapy assistant with protected occupational title;2010;>=65;204;204
602;nimikesuojattu kuntohoitaja;konditionsskötare med skyddad yrkesbeteckning;physiotherapy assistant with protected occupational title;2010;<65;5483;5483
603;nimikesuojattu mielenterveyshoitaja;mentalvårdare med skyddad yrkesbeteckning;practical mental nurse with protected occupational title;2010;>=65;63;63
603;nimikesuojattu mielenterveyshoitaja;mentalvårdare med skyddad yrkesbeteckning;practical mental nurse with protected occupational title;2010;<65;2755;2755
604;nimikesuojattu lastenhoitaja;barnskötare med skyddad yrkesbeteckning;children's nurse with protected occupational title;2010;>=65;4801;4801
604;nimikesuojattu lastenhoitaja;barnskötare med skyddad yrkesbeteckning;children's nurse with protected occupational title;2010;<65;13193;13193
605;nimikesuojattu lähihoitaja (terveydenhuolto);närvårdare (hälsovård) med skyddad yrkesbeteckning;practical nurse (health care);2010;>=65;483;483
605;nimikesuojattu lähihoitaja (terveydenhuolto);närvårdare (hälsovård) med skyddad yrkesbeteckning;practical nurse (health care);2010;<65;96731;96731
607;nimikesuojattu perushoitaja;primärskötare med skyddad yrkesbeteckning;practical nurse with protected occupational title;2010;>=65;434;434
607;nimikesuojattu perushoitaja;primärskötare med skyddad yrkesbeteckning;practical nurse with protected occupational title;2010;<65;11323;11323
610;nimikesuojattu hammashoitaja;tandskötare med skyddad yrkesbeteckning;dental assistant with protected occupational title;2010;>=65;518;518
610;nimikesuojattu hammashoitaja;tandskötare med skyddad yrkesbeteckning;dental assistant with protected occupational title;2010;<65;7606;7606
611;laillistettu suuhygienisti;legitimerad munhygienist;registered dental hygienist;2010;>=65;17;17
611;laillistettu suuhygienisti;legitimerad munhygienist;registered dental hygienist;2010;<65;2103;2103
612;nimikesuojattu jalkaterapeutti;fotterapeut med skyddad yrkesbeteckning;podiatrist with protected occupational title;2010;>=65;Alle 5;Alle 5
612;nimikesuojattu jalkaterapeutti;fotterapeut med skyddad yrkesbeteckning;podiatrist with protected occupational title;2010;<65;223;223
613;nimikesuojattu jalkojenhoitaja;fotvårdare med skyddad yrkesbeteckning;chiropodist with protected occupational title;2010;>=65;132;132
613;nimikesuojattu jalkojenhoitaja;fotvårdare med skyddad yrkesbeteckning;chiropodist with protected occupational title;2010;<65;784;784
614;nimikesuojattu lääkintävahtimestari-sairaankuljettaja;medikalvaktmästare-ambulansförare med skyddad yrkesbeteckning;hospital and ambulance attendant with protected occupational title;2010;>=65;76;76
614;nimikesuojattu lääkintävahtimestari-sairaankuljettaja;medikalvaktmästare-ambulansförare med skyddad yrkesbeteckning;hospital and ambulance attendant with protected occupational title;2010;<65;2812;2812
001;laillistettu lääkäri;legitimerad läkare;registered medical doctor;2011;>=65;4076;4076
001;laillistettu lääkäri;legitimerad läkare;registered medical doctor;2011;<65;21280;21280
003;laillistettu hammaslääkäri;legitimerad tandläkare;registered dental practitioner;2011;>=65;1702;1702
003;laillistettu hammaslääkäri;legitimerad tandläkare;registered dental practitioner;2011;<65;4957;4957
005;laillistettu farmaseutti;legitimerad farmaceut;registered dispenser;2011;>=65;4080;4080
005;laillistettu farmaseutti;legitimerad farmaceut;registered dispenser;2011;<65;8959;8959
006;laillistettu proviisori;legitimerad provisor;registered pharmacist;2011;>=65;527;527
006;laillistettu proviisori;legitimerad provisor;registered pharmacist;2011;<65;2633;2633
007;laillistettu optikko;legitimerad optiker;registered optician;2011;>=65;221;221
007;laillistettu optikko;legitimerad optiker;registered optician;2011;<65;1841;1841
008;laillistettu hammasteknikko;legitimerad tandtekniker;registered dental technician;2011;>=65;252;252
008;laillistettu hammasteknikko;legitimerad tandtekniker;registered dental technician;2011;<65;877;877
009;laillistettu psykologi;legitimerad psykolog;registered psychologist;2011;>=65;855;855
009;laillistettu psykologi;legitimerad psykolog;registered psychologist;2011;<65;5648;5648
010;nimikesuojattu psykoterapeutti;psykoterapeut med skyddad yrkesbeteckning;psychotherapist with protected occupational title;2011;>=65;817;817
010;nimikesuojattu psykoterapeutti;psykoterapeut med skyddad yrkesbeteckning;psychotherapist with protected occupational title;2011;<65;5028;5028
012;laillistettu puheterapeutti;legitimerad talterapeut;registered speech therapist;2011;>=65;124;124
012;laillistettu puheterapeutti;legitimerad talterapeut;registered speech therapist;2011;<65;1333;1333
014;laillistettu toimintaterapeutti;legitimerad ergoterapeut;registered occupational therapist;2011;>=65;25;25
014;laillistettu toimintaterapeutti;legitimerad ergoterapeut;registered occupational therapist;2011;<65;2529;2529
016;laillistettu ravitsemusterapeutti;legitimerad näringsterapeut;registered dietitian;2011;>=65;18;18
016;laillistettu ravitsemusterapeutti;legitimerad näringsterapeut;registered dietitian;2011;<65;501;501
020;nimikesuojattu sairaalafyysikko;sjukhusfysiker med skyddad yrkesbeteckning;hospital physicist with protected occupational title;2011;>=65;21;21
020;nimikesuojattu sairaalafyysikko;sjukhusfysiker med skyddad yrkesbeteckning;hospital physicist with protected occupational title;2011;<65;115;115
021;nimikesuojattu sairaalageneetikko;sjukhusgenetiker med skyddad yrkesbeteckning;hospital geneticist with protected occupational title;2011;>=65;Alle 5;Alle 5
021;nimikesuojattu sairaalageneetikko;sjukhusgenetiker med skyddad yrkesbeteckning;hospital geneticist with protected occupational title;2011;<65;18;18
022;nimikesuojattu sairaalakemisti;sjukhuskemist med skyddad yrkesbeteckning;hospital chemist with protected occupational title;2011;>=65;58;58
022;nimikesuojattu sairaalakemisti;sjukhuskemist med skyddad yrkesbeteckning;hospital chemist with protected occupational title;2011;<65;148;148
023;nimikesuojattu sairaalamikrobiologi;sjukhusmikrobiolog med skyddad yrkesbeteckning;hospital microbiologist with protected occupational title;2011;>=65;Alle 5;Alle 5
023;nimikesuojattu sairaalamikrobiologi;sjukhusmikrobiolog med skyddad yrkesbeteckning;hospital microbiologist with protected occupational title;2011;<65;35;35
024;nimikesuojattu sairaalasolubiologi;sjukhuscellbiolog med skyddad yrkesbeteckning;hospital cell biologist with protected occupational title;2011;>=65;Alle 5;Alle 5
024;nimikesuojattu sairaalasolubiologi;sjukhuscellbiolog med skyddad yrkesbeteckning;hospital cell biologist with protected occupational title;2011;<65;17;17
031;laillistettu yleislääkäri;legitimerad allmänläkare;registered general practitioner;2011;>=65;Alle 5;Alle 5
031;laillistettu yleislääkäri;legitimerad allmänläkare;registered general practitioner;2011;<65;41;41
034;laillistettu erikoislääkäri;legitimerad specialistläkare;registered specialist;2011;>=65;4776;3470
034;laillistettu erikoislääkäri;legitimerad specialistläkare;registered specialist;2011;<65;15844;12552
035;laillistettu erikoishammaslääkäri;legitimerad specialisttandläkare;specialised dental practitioner;2011;>=65;360;350
035;laillistettu erikoishammaslääkäri;legitimerad specialisttandläkare;specialised dental practitioner;2011;<65;682;677
100;laillistettu sairaanhoitaja;legitimerad sjukskötare;registered nurse;2011;>=65;20244;20244
100;laillistettu sairaanhoitaja;legitimerad sjukskötare;registered nurse;2011;<65;95645;95645
201;nimikesuojattu apuvälineteknikko;hjälpmedelstekniker med skyddad yrkesbeteckning;orthopaedic technician with protected occupational title;2011;>=65;Alle 5;Alle 5
201;nimikesuojattu apuvälineteknikko;hjälpmedelstekniker med skyddad yrkesbeteckning;orthopaedic technician with protected occupational title;2011;<65;239;239
220;nimikesuojattu kiropraktikko;kiropraktor med skyddad yrkesbeteckning;chiropractor with protected occupational title;2011;>=65;Alle 5;Alle 5
220;nimikesuojattu kiropraktikko;kiropraktor med skyddad yrkesbeteckning;chiropractor with protected occupational title;2011;<65;78;78
230;nimikesuojattu naprapaatti;naprapat med skyddad yrkesbeteckning;naprapath with protected occupational title;2011;>=65;10;10
230;nimikesuojattu naprapaatti;naprapat med skyddad yrkesbeteckning;naprapath with protected occupational title;2011;<65;124;124
240;nimikesuojattu osteopaatti;osteopat med skyddad yrkesbeteckning;osteopath with protected occupational title;2011;>=65;15;15
240;nimikesuojattu osteopaatti;osteopat med skyddad yrkesbeteckning;osteopath with protected occupational title;2011;<65;273;273
300;laillistettu kätilö;legitimerad barnmorska;registered midwife;2011;>=65;2549;2549
300;laillistettu kätilö;legitimerad barnmorska;registered midwife;2011;<65;6213;6213
400;laillistettu terveydenhoitaja;legitimerad hälsovårdare;registered public health nurse;2011;>=65;987;987
400;laillistettu terveydenhoitaja;legitimerad hälsovårdare;registered public health nurse;2011;<65;20143;20143
503;nimikesuojattu mielisairaanhoitaja;sinnessjukvårdare med skyddad yrkesbeteckning;practical psychiatric nurse with protected occupational title;2011;>=65;3276;3276
503;nimikesuojattu mielisairaanhoitaja;sinnessjukvårdare med skyddad yrkesbeteckning;practical psychiatric nurse with protected occupational title;2011;<65;5072;5072
506;nimikesuojattu koulutettu hieroja;utbildad massör med skyddad yrkesbeteckning;trained masseur with protected occupational title;2011;>=65;955;955
506;nimikesuojattu koulutettu hieroja;utbildad massör med skyddad yrkesbeteckning;trained masseur with protected occupational title;2011;<65;13920;13920
507;nimikesuojattu apuhoitaja;hjälpskötare med skyddad yrkesbeteckning;assistant nurse with protected occupational title;2011;>=65;9395;9395
507;nimikesuojattu apuhoitaja;hjälpskötare med skyddad yrkesbeteckning;assistant nurse with protected occupational title;2011;<65;25870;25870
508;laillistettu laboratoriohoitaja;legitimerad laboratorieskötare;registered medical laboratory technologist;2011;>=65;1216;1216
508;laillistettu laboratoriohoitaja;legitimerad laboratorieskötare;registered medical laboratory technologist;2011;<65;7949;7949
509;laillistettu röntgenhoitaja;legitimerad röntgenskötare;registered radiographer;2011;>=65;743;743
509;laillistettu röntgenhoitaja;legitimerad röntgenskötare;registered radiographer;2011;<65;4279;4279
600;laillistettu fysioterapeutti;legitimerad fysioterapeut;registered physiotherapist;2011;>=65;903;903
600;laillistettu fysioterapeutti;legitimerad fysioterapeut;registered physiotherapist;2011;<65;14665;14665
602;nimikesuojattu kuntohoitaja;konditionsskötare med skyddad yrkesbeteckning;physiotherapy assistant with protected occupational title;2011;>=65;248;248
602;nimikesuojattu kuntohoitaja;konditionsskötare med skyddad yrkesbeteckning;physiotherapy assistant with protected occupational title;2011;<65;5421;5421
603;nimikesuojattu mielenterveyshoitaja;mentalvårdare med skyddad yrkesbeteckning;practical mental nurse with protected occupational title;2011;>=65;82;82
603;nimikesuojattu mielenterveyshoitaja;mentalvårdare med skyddad yrkesbeteckning;practical mental nurse with protected occupational title;2011;<65;2731;2731
604;nimikesuojattu lastenhoitaja;barnskötare med skyddad yrkesbeteckning;children's nurse with protected occupational title;2011;>=65;5213;5213
604;nimikesuojattu lastenhoitaja;barnskötare med skyddad yrkesbeteckning;children's nurse with protected occupational title;2011;<65;12680;12680
605;nimikesuojattu lähihoitaja (terveydenhuolto);närvårdare (hälsovård) med skyddad yrkesbeteckning;practical nurse (health care);2011;>=65;788;788
605;nimikesuojattu lähihoitaja (terveydenhuolto);närvårdare (hälsovård) med skyddad yrkesbeteckning;practical nurse (health care);2011;<65;104913;104913
607;nimikesuojattu perushoitaja;primärskötare med skyddad yrkesbeteckning;practical nurse with protected occupational title;2011;>=65;626;626
